Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.0020102	1571.3	0.00063641	7.8431	7.8432	43.668	57.981	91.758	1127.5	-0.42569	896.02	0.14312	0.028240	0.12098	8.2660	29.602	31.039	177.63	34.587	42.993	143.57	125.17	7.2418	0.0044564
-99.000	0.0022053	1568.7	0.00063748	7.9348	7.9349	44.196	57.936	91.756	1122.7	-0.42500	876.86	0.14258	0.028066	0.13198	7.5771	29.636	31.081	177.11	34.702	43.115	143.93	122.84	7.2838	0.0044942
-98.000	0.0024163	1566.0	0.00063855	8.0266	8.0267	44.722	57.892	91.753	1118.0	-0.42429	858.35	0.14204	0.027892	0.14380	6.9540	29.670	31.123	176.59	34.819	43.239	144.28	120.57	7.3258	0.0045322
-97.000	0.0026443	1563.4	0.00063963	8.1183	8.1184	45.244	57.847	91.751	1113.2	-0.42357	840.47	0.14150	0.027718	0.15650	6.3897	29.704	31.165	176.08	34.935	43.363	144.64	118.35	7.3679	0.0045704
-96.000	0.0028903	1560.8	0.00064071	8.2100	8.2102	45.763	57.803	91.750	1108.5	-0.42283	823.18	0.14097	0.027544	0.17013	5.8779	29.738	31.207	175.58	35.052	43.488	144.99	116.19	7.4099	0.0046088
-95.000	0.0031555	1558.1	0.00064180	8.3018	8.3020	46.280	57.759	91.750	1103.7	-0.42208	806.45	0.14043	0.027371	0.18473	5.4132	29.773	31.250	175.09	35.170	43.614	145.34	114.07	7.4520	0.0046474
-94.000	0.0034412	1555.5	0.00064289	8.3935	8.3937	46.793	57.716	91.750	1099.0	-0.42130	790.27	0.13990	0.027198	0.20037	4.9908	29.807	31.292	174.61	35.288	43.740	145.68	112.00	7.4940	0.0046862
-93.000	0.0037484	1552.8	0.00064398	8.4853	8.4855	47.304	57.672	91.750	1094.3	-0.42051	774.61	0.13937	0.027024	0.21709	4.6064	29.841	31.334	174.14	35.406	43.868	146.03	109.98	7.5361	0.0047251
-92.000	0.0040785	1550.2	0.00064508	8.5770	8.5773	47.812	57.630	91.752	1089.5	-0.41969	759.44	0.13884	0.026851	0.23496	4.2561	29.876	31.377	173.67	35.525	43.996	146.37	108.01	7.5781	0.0047643
-91.000	0.0044329	1547.5	0.00064619	8.6688	8.6690	48.317	57.587	91.755	1084.8	-0.41886	744.75	0.13831	0.026678	0.25403	3.9366	29.910	31.419	173.21	35.644	44.126	146.71	106.08	7.6201	0.0048036
-90.000	0.0048130	1544.9	0.00064730	8.7605	8.7608	48.819	57.546	91.758	1080.1	-0.41801	730.51	0.13778	0.026506	0.27437	3.6448	29.945	31.461	172.77	35.763	44.256	147.05	104.20	7.6621	0.0048432
-89.000	0.0052202	1542.2	0.00064841	8.8523	8.8526	49.319	57.504	91.763	1075.4	-0.41713	716.71	0.13725	0.026333	0.29603	3.3780	29.979	31.504	172.32	35.883	44.387	147.38	102.36	7.7042	0.0048829
-88.000	0.0056559	1539.6	0.00064953	8.9440	8.9444	49.816	57.463	91.768	1070.7	-0.41624	703.33	0.13673	0.026161	0.31910	3.1338	30.014	31.546	171.89	36.004	44.519	147.72	100.56	7.7462	0.0049228
-87.000	0.0061219	1536.9	0.00065065	9.0358	9.0361	50.310	57.423	91.775	1066.0	-0.41532	690.34	0.13621	0.025989	0.34362	2.9102	30.048	31.589	171.46	36.125	44.653	148.05	98.803	7.7882	0.0049629
-86.000	0.0066196	1534.3	0.00065178	9.1276	9.1279	50.802	57.384	91.783	1061.3	-0.41437	677.74	0.13569	0.025817	0.36968	2.7050	30.083	31.631	171.05	36.246	44.787	148.37	97.087	7.8301	0.0050032
-85.000	0.0071508	1531.6	0.00065292	9.2193	9.2197	51.291	57.344	91.793	1056.6	-0.41341	665.50	0.13517	0.025645	0.39734	2.5167	30.118	31.674	170.63	36.368	44.922	148.70	95.410	7.8721	0.0050437
-84.000	0.0077173	1528.9	0.00065406	9.3111	9.3116	51.777	57.306	91.803	1051.9	-0.41242	653.62	0.13465	0.025473	0.42669	2.3436	30.153	31.717	170.23	36.491	45.059	149.02	93.771	7.9140	0.0050844
-83.000	0.0083208	1526.2	0.00065520	9.4029	9.4034	52.261	57.268	91.816	1047.2	-0.41140	642.08	0.13413	0.025301	0.45778	2.1845	30.188	31.759	169.83	36.613	45.196	149.35	92.169	7.9560	0.0051253
-82.000	0.0089632	1523.6	0.00065635	9.4947	9.4952	52.743	57.232	91.829	1042.5	-0.41036	630.86	0.13361	0.025130	0.49071	2.0379	30.222	31.802	169.44	36.737	45.335	149.66	90.604	7.9979	0.0051664
-81.000	0.0096464	1520.9	0.00065751	9.5866	9.5871	53.222	57.195	91.845	1037.8	-0.40929	619.96	0.13310	0.024959	0.52555	1.9028	30.257	31.844	169.06	36.861	45.475	149.98	89.075	8.0398	0.0052077
-80.000	0.010372	1518.2	0.00065867	9.6784	9.6790	53.699	57.160	91.861	1033.1	-0.40819	609.36	0.13259	0.024788	0.56238	1.7782	30.292	31.887	168.68	36.986	45.616	150.29	87.580	8.0816	0.0052491
-79.000	0.011143	1515.5	0.00065984	9.7703	9.7709	54.173	57.125	91.880	1028.5	-0.40707	599.05	0.13207	0.024617	0.60129	1.6631	30.327	31.930	168.31	37.111	45.759	150.61	86.119	8.1235	0.0052908
-78.000	0.011961	1512.8	0.00066101	9.8621	9.8628	54.645	57.092	91.900	1023.8	-0.40591	589.01	0.13156	0.024446	0.64237	1.5567	30.362	31.972	167.94	37.236	45.902	150.91	84.691	8.1653	0.0053327
-77.000	0.012828	1510.1	0.00066219	9.9540	9.9548	55.115	57.059	91.922	1019.1	-0.40473	579.24	0.13105	0.024276	0.68570	1.4584	30.397	32.015	167.58	37.363	46.047	151.22	83.295	8.2071	0.0053748
-76.000	0.013746	1507.4	0.00066338	10.046	10.047	55.582	57.027	91.946	1014.4	-0.40352	569.74	0.13055	0.024105	0.73138	1.3673	30.432	32.058	167.23	37.490	46.193	151.52	81.930	8.2489	0.0054171
-75.000	0.014718	1504.7	0.00066457	10.138	10.139	56.047	56.996	91.971	1009.8	-0.40228	560.48	0.13004	0.023935	0.77949	1.2829	30.467	32.100	166.88	37.617	46.341	151.82	80.596	8.2906	0.0054595
-74.000	0.015746	1502.0	0.00066576	10.230	10.231	56.510	56.966	91.999	1005.1	-0.40100	551.45	0.12953	0.023765	0.83013	1.2046	30.503	32.143	166.54	37.745	46.490	152.12	79.292	8.3323	0.0055022
-73.000	0.016833	1499.3	0.00066697	10.322	10.323	56.971	56.937	92.028	1000.4	-0.39970	542.66	0.12903	0.023596	0.88340	1.1320	30.538	32.185	166.20	37.874	46.640	152.41	78.016	8.3740	0.0055451
-72.000	0.017981	1496.6	0.00066818	10.414	10.415	57.430	56.909	92.060	995.77	-0.39836	534.10	0.12853	0.023426	0.93939	1.0645	30.573	32.228	165.87	38.003	46.792	152.71	76.770	8.4157	0.0055882
-71.000	0.019192	1493.9	0.00066939	10.506	10.507	57.886	56.882	92.093	991.10	-0.39699	525.74	0.12802	0.023257	0.99822	1.0018	30.608	32.270	165.55	38.133	46.946	152.99	75.550	8.4573	0.0056315
-70.000	0.020469	1491.2	0.00067061	10.598	10.599	58.341	56.856	92.129	986.44	-0.39559	517.59	0.12752	0.023087	1.0600	0.94342	30.643	32.313	165.23	38.264	47.101	153.28	74.358	8.4989	0.0056750
-69.000	0.021815	1488.4	0.00067184	10.690	10.691	58.793	56.831	92.167	981.78	-0.39416	509.65	0.12702	0.022918	1.1248	0.88908	30.678	32.355	164.91	38.395	47.257	153.56	73.192	8.5404	0.0057187
-68.000	0.023233	1485.7	0.00067308	10.782	10.784	59.243	56.807	92.206	977.13	-0.39268	501.89	0.12653	0.022749	1.1927	0.83844	30.714	32.398	164.60	38.527	47.415	153.84	72.052	8.5820	0.0057627
