Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.00037947	683.90	0.0014622	-0.37171	-0.37167	3.8989	75.576	109.16	1558.1	-0.58859	936.46	0.14001	0.024645	0.015329	65.234	23.449	24.887	149.78	57.379	65.719	168.33	124.65	4.3978	0.0060349
-99.000	0.00041968	682.94	0.0014643	-0.26245	-0.26242	4.5280	75.703	109.35	1551.6	-0.58690	915.23	0.13962	0.024525	0.016857	59.321	23.506	24.953	149.32	57.610	65.952	168.77	122.21	4.4234	0.0061060
-98.000	0.00046355	681.97	0.0014663	-0.15301	-0.15297	5.1546	75.830	109.53	1545.1	-0.58520	894.73	0.13923	0.024406	0.018514	54.013	23.563	25.019	148.87	57.841	66.185	169.20	119.83	4.4491	0.0061773
-97.000	0.00051133	681.01	0.0014684	-0.043386	-0.043342	5.7788	75.958	109.72	1538.7	-0.58349	874.92	0.13884	0.024286	0.020308	49.242	23.621	25.084	148.43	58.072	66.419	169.64	117.52	4.4747	0.0062489
-96.000	0.00056333	680.04	0.0014705	0.066429	0.066477	6.4004	76.087	109.91	1532.2	-0.58178	855.77	0.13844	0.024167	0.022248	44.948	23.679	25.151	148.00	58.303	66.653	170.07	115.27	4.5003	0.0063207
-95.000	0.00061984	679.07	0.0014726	0.17643	0.17649	7.0196	76.216	110.10	1525.8	-0.58005	837.24	0.13805	0.024047	0.024344	41.078	23.737	25.217	147.58	58.534	66.887	170.50	113.08	4.5259	0.0063927
-94.000	0.00068119	678.10	0.0014747	0.28662	0.28668	7.6364	76.346	110.29	1519.4	-0.57833	819.32	0.13765	0.023928	0.026606	37.586	23.795	25.283	147.17	58.766	67.121	170.92	110.94	4.5514	0.0064650
-93.000	0.00074770	677.14	0.0014768	0.39701	0.39707	8.2509	76.476	110.48	1513.0	-0.57659	801.98	0.13725	0.023808	0.029044	34.431	23.854	25.350	146.76	58.997	67.356	171.35	108.86	4.5770	0.0065376
-92.000	0.00081975	676.17	0.0014789	0.50758	0.50765	8.8629	76.607	110.67	1506.7	-0.57484	785.19	0.13685	0.023689	0.031669	31.577	23.913	25.417	146.37	59.229	67.591	171.77	106.84	4.6025	0.0066104
-91.000	0.00089768	675.20	0.0014811	0.61834	0.61841	9.4727	76.738	110.86	1500.3	-0.57309	768.92	0.13644	0.023569	0.034492	28.992	23.972	25.484	145.99	59.461	67.826	172.20	104.87	4.6280	0.0066834
-90.000	0.00098191	674.22	0.0014832	0.72929	0.72937	10.080	76.870	111.05	1494.0	-0.57133	753.16	0.13604	0.023450	0.037526	26.648	24.031	25.552	145.61	59.693	68.062	172.62	102.95	4.6535	0.0067567
-89.000	0.0010728	673.25	0.0014853	0.84043	0.84052	10.685	77.003	111.24	1487.6	-0.56955	737.89	0.13564	0.023330	0.040782	24.521	24.090	25.619	145.24	59.926	68.298	173.04	101.07	4.6790	0.0068302
-88.000	0.0011709	672.28	0.0014875	0.95177	0.95187	11.288	77.136	111.43	1481.3	-0.56777	723.08	0.13523	0.023211	0.044273	22.587	24.150	25.687	144.88	60.158	68.534	173.45	99.249	4.7044	0.0069040
-87.000	0.0012765	671.30	0.0014896	1.0633	1.0634	11.889	77.270	111.63	1475.0	-0.56599	708.71	0.13482	0.023091	0.048013	20.828	24.210	25.755	144.53	60.391	68.772	173.87	97.470	4.7298	0.0069780
-86.000	0.0013902	670.33	0.0014918	1.1750	1.1751	12.488	77.404	111.82	1468.8	-0.56419	694.78	0.13441	0.022972	0.052015	19.225	24.270	25.823	144.19	60.624	69.009	174.28	95.735	4.7552	0.0070523
-85.000	0.0015124	669.35	0.0014940	1.2869	1.2871	13.084	77.540	112.01	1462.5	-0.56238	681.25	0.13400	0.022852	0.056294	17.764	24.330	25.891	143.85	60.858	69.247	174.69	94.044	4.7806	0.0071268
-84.000	0.0016437	668.38	0.0014962	1.3990	1.3992	13.678	77.675	112.21	1456.2	-0.56056	668.12	0.13359	0.022733	0.060864	16.430	24.390	25.960	143.53	61.092	69.486	175.10	92.394	4.8060	0.0072015
-83.000	0.0017846	667.40	0.0014984	1.5113	1.5115	14.270	77.812	112.40	1450.0	-0.55873	655.37	0.13318	0.022614	0.065741	15.211	24.451	26.029	143.21	61.326	69.726	175.50	90.786	4.8313	0.0072765
-82.000	0.0019356	666.42	0.0015006	1.6238	1.6240	14.860	77.950	112.60	1443.7	-0.55689	642.97	0.13277	0.022494	0.070941	14.096	24.512	26.097	142.89	61.561	69.966	175.91	89.216	4.8566	0.0073517
-81.000	0.0020974	665.44	0.0015028	1.7365	1.7367	15.449	78.088	112.80	1437.5	-0.55504	630.93	0.13235	0.022375	0.076479	13.075	24.573	26.167	142.59	61.796	70.206	176.31	87.685	4.8819	0.0074271
-80.000	0.0022704	664.46	0.0015050	1.8494	1.8496	16.034	78.227	112.99	1431.3	-0.55318	619.23	0.13194	0.022255	0.082374	12.140	24.634	26.236	142.29	62.031	70.448	176.71	86.190	4.9072	0.0075028
-79.000	0.0024555	663.47	0.0015072	1.9625	1.9627	16.618	78.366	113.19	1425.1	-0.55131	607.85	0.13152	0.022136	0.088643	11.281	24.695	26.305	142.00	62.267	70.690	177.10	84.732	4.9324	0.0075787
-78.000	0.0026532	662.49	0.0015095	2.0758	2.0760	17.200	78.507	113.39	1418.9	-0.54943	596.78	0.13111	0.022017	0.095303	10.493	24.757	26.375	141.71	62.503	70.933	177.50	83.309	4.9576	0.0076549
