Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.00055940	1582.4	0.00063195	7.6893	7.6894	44.425	80.728	120.83	1103.2	-0.37926	1882.4	0.14324	0.026835	0.039694	25.193	32.932	34.370	198.51	52.108	60.527	127.87	318.13	6.9606	0.0033445
-99.000	0.00062222	1579.7	0.00063301	7.8102	7.8102	45.121	80.711	120.86	1098.1	-0.37853	1812.1	0.14263	0.026669	0.043901	22.778	32.983	34.429	197.97	52.347	60.772	128.19	303.55	7.0003	0.0034246
-98.000	0.00069109	1577.1	0.00063407	7.9310	7.9311	45.813	80.701	120.89	1093.0	-0.37777	1746.3	0.14203	0.026504	0.048487	20.624	33.035	34.489	197.44	52.585	61.017	128.51	289.87	7.0399	0.0035048
-97.000	0.00076650	1574.5	0.00063514	8.0520	8.0520	46.501	80.697	120.93	1087.9	-0.37698	1684.6	0.14143	0.026339	0.053477	18.699	33.086	34.549	196.92	52.824	61.262	128.83	277.04	7.0796	0.0035849
-96.000	0.00084895	1571.8	0.00063621	8.1729	8.1730	47.186	80.699	120.97	1082.8	-0.37616	1626.6	0.14083	0.026174	0.058902	16.977	33.138	34.609	196.41	53.063	61.508	129.15	264.98	7.1192	0.0036650
-95.000	0.00093899	1569.1	0.00063729	8.2939	8.2940	47.867	80.706	121.02	1077.7	-0.37532	1572.0	0.14023	0.026009	0.064790	15.435	33.190	34.669	195.92	53.301	61.753	129.47	253.65	7.1588	0.0037452
-94.000	0.0010372	1566.5	0.00063837	8.4149	8.4150	48.544	80.718	121.08	1072.6	-0.37446	1520.6	0.13964	0.025844	0.071174	14.050	33.242	34.729	195.43	53.540	61.999	129.79	242.99	7.1983	0.0038253
-93.000	0.0011441	1563.8	0.00063945	8.5360	8.5361	49.218	80.735	121.13	1067.6	-0.37356	1472.0	0.13905	0.025680	0.078087	12.806	33.295	34.790	194.95	53.778	62.245	130.10	232.97	7.2379	0.0039055
-92.000	0.0012605	1561.2	0.00064054	8.6572	8.6573	49.889	80.756	121.20	1062.5	-0.37265	1426.0	0.13846	0.025516	0.085563	11.687	33.347	34.850	194.48	54.016	62.491	130.41	223.53	7.2774	0.0039856
-91.000	0.0013869	1558.5	0.00064164	8.7784	8.7785	50.557	80.782	121.26	1057.4	-0.37170	1382.4	0.13787	0.025352	0.093640	10.679	33.400	34.911	194.03	54.254	62.738	130.73	214.64	7.3168	0.0040658
-90.000	0.0015241	1555.8	0.00064274	8.8997	8.8998	51.221	80.812	121.34	1052.3	-0.37074	1341.0	0.13728	0.025188	0.10236	9.7698	33.453	34.972	193.58	54.492	62.984	131.03	206.26	7.3562	0.0041459
-89.000	0.0016728	1553.2	0.00064384	9.0211	9.0212	51.882	80.846	121.41	1047.2	-0.36975	1301.7	0.13670	0.025025	0.11175	8.9485	33.506	35.034	193.14	54.729	63.231	131.34	198.35	7.3956	0.0042261
-88.000	0.0018338	1550.5	0.00064495	9.1425	9.1427	52.539	80.884	121.49	1042.2	-0.36874	1264.3	0.13612	0.024861	0.12186	8.2059	33.560	35.095	192.71	54.967	63.478	131.65	190.89	7.4350	0.0043063
-87.000	0.0020079	1547.8	0.00064607	9.2641	9.2642	53.194	80.925	121.57	1037.1	-0.36771	1228.7	0.13554	0.024698	0.13274	7.5334	33.613	35.157	192.29	55.204	63.726	131.95	183.84	7.4743	0.0043865
-86.000	0.0021960	1545.1	0.00064719	9.3857	9.3858	53.845	80.970	121.66	1032.0	-0.36665	1194.8	0.13497	0.024536	0.14443	6.9239	33.667	35.218	191.88	55.442	63.974	132.26	177.18	7.5136	0.0044667
-85.000	0.0023990	1542.5	0.00064831	9.5074	9.5075	54.494	81.018	121.75	1027.0	-0.36557	1162.4	0.13439	0.024373	0.15697	6.3707	33.721	35.280	191.47	55.679	64.222	132.56	170.88	7.5528	0.0045469
-84.000	0.0026178	1539.8	0.00064944	9.6292	9.6294	55.140	81.069	121.84	1021.9	-0.36447	1131.4	0.13382	0.024210	0.17042	5.8680	33.775	35.342	191.08	55.916	64.470	132.86	164.92	7.5920	0.0046271
-83.000	0.0028535	1537.1	0.00065058	9.7511	9.7513	55.782	81.123	121.94	1016.9	-0.36335	1101.8	0.13325	0.024048	0.18482	5.4107	33.829	35.404	190.69	56.153	64.719	133.16	159.28	7.6312	0.0047073
-82.000	0.0031070	1534.4	0.00065172	9.8731	9.8733	56.422	81.179	122.04	1011.9	-0.36221	1073.5	0.13269	0.023886	0.20023	4.9943	33.883	35.466	190.31	56.391	64.969	133.45	153.93	7.6703	0.0047875
-81.000	0.0033794	1531.7	0.00065286	9.9951	9.9954	57.059	81.239	122.14	1006.8	-0.36105	1046.3	0.13212	0.023724	0.21670	4.6147	33.938	35.529	189.94	56.628	65.219	133.75	148.86	7.7094	0.0048677
-80.000	0.0036719	1529.0	0.00065401	10.117	10.118	57.693	81.301	122.24	1001.8	-0.35986	1020.3	0.13156	0.023563	0.23429	4.2682	33.992	35.591	189.58	56.865	65.469	134.04	144.05	7.7484	0.0049479
-79.000	0.0039856	1526.3	0.00065517	10.240	10.240	58.325	81.365	122.35	996.80	-0.35866	995.30	0.13100	0.023401	0.25306	3.9516	34.047	35.654	189.22	57.102	65.720	134.33	139.49	7.7874	0.0050282
-78.000	0.0043217	1523.6	0.00065633	10.362	10.362	58.954	81.432	122.46	991.79	-0.35743	971.30	0.13044	0.023240	0.27307	3.6621	34.102	35.717	188.88	57.339	65.971	134.62	135.15	7.8264	0.0051084
-77.000	0.0046816	1520.9	0.00065750	10.485	10.485	59.580	81.501	122.57	986.79	-0.35618	948.24	0.12988	0.023079	0.29438	3.3970	34.157	35.780	188.54	57.576	66.223	134.90	131.03	7.8653	0.0051887
-76.000	0.0050665	1518.2	0.00065867	10.607	10.607	60.203	81.572	122.69	981.80	-0.35492	926.07	0.12933	0.022918	0.31705	3.1540	34.212	35.843	188.20	57.813	66.476	135.19	127.11	7.9042	0.0052690
-75.000	0.0054777	1515.5	0.00065985	10.730	10.730	60.824	81.644	122.80	976.81	-0.35363	904.73	0.12877	0.022758	0.34116	2.9312	34.268	35.906	187.88	58.050	66.730	135.47	123.38	7.9430	0.0053493
-74.000	0.0059168	1512.8	0.00066104	10.853	10.853	61.443	81.719	122.92	971.83	-0.35232	884.18	0.12822	0.022598	0.36677	2.7265	34.323	35.969	187.56	58.288	66.984	135.75	119.83	7.9818	0.0054296
-73.000	0.0063851	1510.1	0.00066223	10.976	10.976	62.059	81.796	123.04	966.86	-0.35099	864.38	0.12767	0.022437	0.39395	2.5384	34.379	36.033	187.25	58.525	67.239	136.03	116.44	8.0205	0.0055099
