Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.00016460	699.29	0.0014300	-0.79343	-0.79342	1.8484	84.209	117.03	1591.7	-0.54574	773.13	0.16164	0.027300	0.0066473	150.44	24.765	26.204	157.77	63.237	71.567	167.37	148.08	4.3110	0.0068318
-99.000	0.00018330	698.36	0.0014319	-0.67636	-0.67635	2.5225	84.241	117.11	1585.9	-0.54484	757.29	0.16120	0.027169	0.0073604	135.86	24.828	26.276	157.29	63.418	71.748	167.82	145.16	4.3361	0.0068897
-98.000	0.00020384	697.42	0.0014339	-0.55921	-0.55919	3.1933	84.274	117.20	1580.1	-0.54393	741.99	0.16076	0.027038	0.0081388	122.87	24.892	26.347	156.81	63.598	71.930	168.27	142.32	4.3613	0.0069480
-97.000	0.00022638	696.48	0.0014358	-0.44197	-0.44195	3.8608	84.309	117.29	1574.3	-0.54300	727.21	0.16031	0.026907	0.0089874	111.27	24.955	26.419	156.35	63.779	72.113	168.72	139.55	4.3864	0.0070066
-96.000	0.00025106	695.55	0.0014377	-0.32464	-0.32462	4.5250	84.346	117.38	1568.6	-0.54205	712.92	0.15987	0.026777	0.0099114	100.89	25.019	26.491	155.90	63.960	72.295	169.17	136.85	4.4115	0.0070655
-95.000	0.00027806	694.61	0.0014397	-0.20722	-0.20719	5.1860	84.384	117.47	1562.8	-0.54109	699.10	0.15942	0.026646	0.010916	91.606	25.083	26.563	155.45	64.141	72.478	169.61	134.23	4.4366	0.0071247
-94.000	0.00030757	693.67	0.0014416	-0.089705	-0.089680	5.8437	84.424	117.56	1557.0	-0.54012	685.73	0.15897	0.026516	0.012008	83.280	25.147	26.635	155.02	64.323	72.661	170.06	131.67	4.4617	0.0071843
-93.000	0.00033977	692.74	0.0014436	0.027898	0.027927	6.4984	84.465	117.65	1551.3	-0.53913	672.79	0.15853	0.026386	0.013192	75.805	25.211	26.708	154.60	64.505	72.845	170.50	129.18	4.4868	0.0072441
-92.000	0.00037486	691.80	0.0014455	0.14560	0.14563	7.1499	84.508	117.75	1545.5	-0.53813	660.25	0.15808	0.026255	0.014475	69.086	25.275	26.780	154.18	64.687	73.030	170.94	126.75	4.5119	0.0073043
-91.000	0.00041308	690.86	0.0014475	0.26339	0.26343	7.7984	84.552	117.84	1539.8	-0.53711	648.10	0.15762	0.026125	0.015863	63.038	25.340	26.853	153.78	64.870	73.214	171.38	124.38	4.5369	0.0073648
-90.000	0.00045463	689.92	0.0014494	0.38128	0.38132	8.4438	84.599	117.94	1534.0	-0.53608	636.33	0.15717	0.025995	0.017365	57.588	25.404	26.926	153.38	65.053	73.400	171.81	122.08	4.5620	0.0074256
-89.000	0.00049976	688.98	0.0014514	0.49927	0.49931	9.0863	84.646	118.04	1528.3	-0.53504	624.91	0.15672	0.025866	0.018986	52.670	25.469	26.999	152.99	65.236	73.586	172.25	119.83	4.5870	0.0074867
-88.000	0.00054873	688.04	0.0014534	0.61736	0.61741	9.7258	84.696	118.14	1522.6	-0.53398	613.84	0.15626	0.025736	0.020735	48.227	25.534	27.073	152.61	65.420	73.772	172.68	117.64	4.6120	0.0075481
-87.000	0.00060181	687.10	0.0014554	0.73556	0.73561	10.362	84.747	118.25	1516.9	-0.53290	603.09	0.15580	0.025606	0.022620	44.209	25.600	27.146	152.24	65.605	73.960	173.11	115.50	4.6370	0.0076099
-86.000	0.00065926	686.15	0.0014574	0.85386	0.85391	10.996	84.800	118.35	1511.1	-0.53181	592.65	0.15534	0.025477	0.024649	40.570	25.665	27.220	151.88	65.790	74.147	173.54	113.41	4.6620	0.0076719
-85.000	0.00072140	685.21	0.0014594	0.97226	0.97232	11.627	84.854	118.46	1505.4	-0.53070	582.52	0.15488	0.025347	0.026831	37.271	25.730	27.293	151.52	65.975	74.336	173.96	111.38	4.6870	0.0077343
-84.000	0.00078853	684.27	0.0014614	1.0908	1.0908	12.255	84.910	118.57	1499.7	-0.52958	572.67	0.15442	0.025218	0.029174	34.277	25.796	27.367	151.17	66.162	74.526	174.39	109.40	4.7119	0.0077970
-83.000	0.00086098	683.33	0.0014634	1.2094	1.2095	12.881	84.968	118.68	1494.0	-0.52844	563.09	0.15396	0.025089	0.031690	31.556	25.862	27.441	150.83	66.348	74.716	174.81	107.46	4.7368	0.0078600
-82.000	0.00093909	682.38	0.0014655	1.3281	1.3282	13.504	85.027	118.79	1488.3	-0.52728	553.78	0.15350	0.024960	0.034387	29.081	25.928	27.515	150.50	66.536	74.907	175.23	105.57	4.7618	0.0079233
-81.000	0.0010232	681.44	0.0014675	1.4470	1.4471	14.124	85.088	118.90	1482.7	-0.52612	544.72	0.15304	0.024831	0.037275	26.827	25.994	27.590	150.18	66.724	75.099	175.65	103.73	4.7867	0.0079870
-80.000	0.0011137	680.49	0.0014695	1.5659	1.5660	14.741	85.151	119.02	1477.0	-0.52493	535.91	0.15257	0.024702	0.040367	24.773	26.061	27.664	149.86	66.913	75.292	176.07	101.93	4.8116	0.0080509
-79.000	0.0012110	679.54	0.0014716	1.6850	1.6851	15.356	85.216	119.14	1471.3	-0.52373	527.33	0.15211	0.024574	0.043672	22.898	26.127	27.739	149.55	67.103	75.486	176.48	100.17	4.8364	0.0081152
-78.000	0.0013155	678.60	0.0014736	1.8042	1.8043	15.969	85.282	119.25	1465.6	-0.52251	518.97	0.15164	0.024445	0.047202	21.185	26.194	27.814	149.25	67.293	75.681	176.90	98.454	4.8613	0.0081798
-77.000	0.0014277	677.65	0.0014757	1.9235	1.9236	16.578	85.350	119.37	1460.0	-0.52127	510.84	0.15117	0.024317	0.050970	19.619	26.261	27.889	148.95	67.484	75.876	177.31	96.778	4.8861	0.0082446
-76.000	0.0015479	676.70	0.0014778	2.0429	2.0431	17.186	85.420	119.50	1454.3	-0.52002	502.91	0.15071	0.024188	0.054987	18.186	26.328	27.964	148.66	67.676	76.073	177.72	95.142	4.9110	0.0083098
-75.000	0.0016766	675.75	0.0014798	2.1625	2.1626	17.791	85.491	119.62	1448.7	-0.51876	495.18	0.15024	0.024060	0.059267	16.873	26.395	28.039	148.38	67.869	76.271	178.12	93.544	4.9358	0.0083753
-74.000	0.0018144	674.80	0.0014819	2.2822	2.2823	18.393	85.564	119.75	1443.0	-0.51747	487.64	0.14977	0.023932	0.063823	15.668	26.462	28.114	148.10	68.062	76.470	178.53	91.982	4.9605	0.0084412
-73.000	0.0019617	673.85	0.0014840	2.4020	2.4021	18.993	85.639	119.88	1437.4	-0.51617	480.29	0.14930	0.023804	0.068669	14.563	26.529	28.190	147.84	68.257	76.670	178.93	90.457	4.9853	0.0085073
-72.000	0.0021190	672.90	0.0014861	2.5219	2.5221	19.591	85.715	120.01	1431.7	-0.51485	473.12	0.14883	0.023676	0.073819	13.547	26.597	28.266	147.57	68.452	76.871	179.33	88.966	5.0101	0.0085737
-71.000	0.0022870	671.95	0.0014882	2.6420	2.6422	20.186	85.793	120.14	1426.1	-0.51352	466.12	0.14836	0.023548	0.079287	12.612	26.665	28.341	147.32	68.648	77.073	179.73	87.509	5.0348	0.0086405
-70.000	0.0024661	670.99	0.0014903	2.7622	2.7624	20.779	85.873	120.27	1420.5	-0.51217	459.28	0.14789	0.023421	0.085089	11.752	26.733	28.417	147.07	68.845	77.277	180.13	86.085	5.0595	0.0087076
-69.000	0.0026570	670.04	0.0014925	2.8825	2.8827	21.370	85.955	120.40	1414.8	-0.51080	452.61	0.14742	0.023293	0.091240	10.960	26.801	28.493	146.82	69.043	77.481	180.52	84.694	5.0842	0.0087749
-68.000	0.0028602	669.08	0.0014946	3.0030	3.0032	21.959	86.038	120.54	1409.2	-0.50941	446.10	0.14694	0.023166	0.097756	10.230	26.869	28.570	146.58	69.242	77.687	180.91	83.333	5.1088	0.0088426
-67.000	0.0030765	668.13	0.0014967	3.1236	3.1239	22.545	86.123	120.68	1403.6	-0.50801	439.73	0.14647	0.023039	0.10465	9.5552	26.938	28.646	146.35	69.442	77.895	181.30	82.003	5.1335	0.0089106
-66.000	0.0033064	667.17	0.0014989	3.2443	3.2446	23.130	86.210	120.82	1398.0	-0.50659	433.51	0.14600	0.022911	0.11195	8.9324	27.006	28.723	146.12	69.643	78.103	181.69	80.702	5.1581	0.0089789
-65.000	0.0035506	666.21	0.0015010	3.3652	3.3655	23.712	86.298	120.96	1392.4	-0.50515	427.43	0.14553	0.022784	0.11967	8.3565	27.075	28.799	145.90	69.844	78.313	182.07	79.430	5.1827	0.0090475
