Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-77.660	0.0060534	733.85	0.0013627	1.1549e-14	0.00014048	0.0000	50.538	73.322	2011.3	-0.21958	570.61	0.61094	0.043948	0.063708	15.697	23.739	25.357	129.71	25.822	34.452	355.26	180.96	6.8379	0.015699
-76.660	0.0065556	732.70	0.0013648	0.073339	0.073492	0.37420	50.546	73.365	2005.1	-0.21914	557.81	0.61087	0.043744	0.068659	14.565	23.763	25.389	129.21	25.861	34.507	356.10	176.52	6.8632	0.015771
-75.660	0.0070929	731.56	0.0013670	0.14672	0.14689	0.74673	50.553	73.410	1998.8	-0.21869	545.43	0.61076	0.043539	0.073929	13.527	23.786	25.420	128.72	25.901	34.565	356.93	172.21	6.8886	0.015844
-74.660	0.0076674	730.41	0.0013691	0.22015	0.22033	1.1176	50.560	73.458	1992.5	-0.21822	533.43	0.61062	0.043333	0.079535	12.573	23.810	25.451	128.23	25.942	34.624	357.76	168.02	6.9142	0.015917
-73.660	0.0082811	729.26	0.0013713	0.29363	0.29382	1.4869	50.566	73.507	1986.3	-0.21773	521.81	0.61045	0.043126	0.085493	11.697	23.833	25.482	127.75	25.985	34.685	358.59	163.97	6.9400	0.015990
-72.660	0.0089360	728.11	0.0013734	0.36716	0.36737	1.8545	50.572	73.559	1980.0	-0.21722	510.55	0.61025	0.042918	0.091821	10.891	23.856	25.513	127.28	26.029	34.748	359.40	160.03	6.9659	0.016065
-71.660	0.0096344	726.95	0.0013756	0.44074	0.44096	2.2206	50.576	73.612	1973.8	-0.21670	499.63	0.61001	0.042708	0.098535	10.149	23.879	25.544	126.81	26.074	34.813	360.22	156.21	6.9919	0.016139
-70.660	0.010379	725.80	0.0013778	0.51437	0.51461	2.5851	50.580	73.666	1967.5	-0.21616	489.06	0.60975	0.042498	0.10565	9.4648	23.902	25.575	126.35	26.120	34.880	361.02	152.50	7.0180	0.016215
-69.660	0.011171	724.65	0.0013800	0.58806	0.58832	2.9482	50.582	73.722	1961.3	-0.21560	478.80	0.60945	0.042287	0.11320	8.8340	23.925	25.606	125.89	26.168	34.949	361.83	148.89	7.0443	0.016291
-68.660	0.012014	723.50	0.0013822	0.66180	0.66208	3.3097	50.584	73.780	1955.1	-0.21503	468.86	0.60912	0.042075	0.12119	8.2518	23.948	25.637	125.44	26.216	35.020	362.62	145.40	7.0707	0.016368
-67.660	0.012910	722.35	0.0013844	0.73560	0.73591	3.6697	50.584	73.839	1948.8	-0.21445	459.22	0.60876	0.041862	0.12964	7.7139	23.971	25.667	125.00	26.267	35.093	363.41	142.00	7.0973	0.016445
-66.660	0.013862	721.19	0.0013866	0.80946	0.80979	4.0283	50.583	73.898	1942.6	-0.21384	449.87	0.60837	0.041648	0.13857	7.2165	23.994	25.698	124.56	26.318	35.168	364.20	138.70	7.1240	0.016523
-65.660	0.014873	720.04	0.0013888	0.88338	0.88374	4.3854	50.581	73.959	1936.4	-0.21323	440.80	0.60795	0.041433	0.14801	6.7562	24.017	25.728	124.12	26.371	35.245	364.98	135.50	7.1507	0.016601
-64.660	0.015945	718.88	0.0013911	0.95736	0.95774	4.7411	50.577	74.020	1930.2	-0.21259	431.99	0.60749	0.041218	0.15798	6.3300	24.039	25.758	123.69	26.425	35.324	365.76	132.39	7.1776	0.016680
-63.660	0.017081	717.72	0.0013933	1.0314	1.0318	5.0954	50.572	74.083	1924.0	-0.21195	423.45	0.60701	0.041001	0.16850	5.9349	24.062	25.788	123.27	26.480	35.405	366.52	129.36	7.2047	0.016760
-62.660	0.018285	716.56	0.0013956	1.1055	1.1059	5.4483	50.566	74.145	1917.9	-0.21129	415.16	0.60649	0.040784	0.17958	5.5684	24.084	25.818	122.85	26.537	35.489	367.29	126.42	7.2318	0.016841
-61.660	0.019559	715.40	0.0013978	1.1797	1.1801	5.7998	50.558	74.209	1911.7	-0.21061	407.11	0.60595	0.040566	0.19127	5.2283	24.107	25.848	122.44	26.595	35.575	368.04	123.56	7.2590	0.016922
-60.660	0.020907	714.24	0.0014001	1.2539	1.2544	6.1499	50.549	74.273	1905.5	-0.20993	399.29	0.60537	0.040347	0.20357	4.9123	24.129	25.878	122.03	26.655	35.663	368.79	120.79	7.2864	0.017004
-59.660	0.022331	713.08	0.0014024	1.3282	1.3287	6.4987	50.538	74.337	1899.3	-0.20923	391.70	0.60477	0.040128	0.21652	4.6185	24.151	25.908	121.63	26.716	35.753	369.54	118.08	7.3138	0.017086
-58.660	0.023836	711.91	0.0014047	1.4026	1.4031	6.8462	50.525	74.402	1893.2	-0.20851	384.32	0.60413	0.039908	0.23014	4.3452	24.173	25.937	121.23	26.778	35.846	370.28	115.46	7.3414	0.017169
-57.660	0.025425	710.74	0.0014070	1.4770	1.4776	7.1924	50.511	74.466	1887.0	-0.20779	377.16	0.60346	0.039687	0.24446	4.0907	24.195	25.966	120.84	26.842	35.941	371.01	112.90	7.3690	0.017253
-56.660	0.027101	709.57	0.0014093	1.5515	1.5521	7.5372	50.496	74.531	1880.8	-0.20705	370.20	0.60276	0.039465	0.25950	3.8536	24.217	25.996	120.45	26.908	36.038	371.74	110.42	7.3968	0.017337
-55.660	0.028868	708.40	0.0014116	1.6260	1.6267	7.8808	50.479	74.597	1874.6	-0.20629	363.43	0.60204	0.039243	0.27528	3.6326	24.239	26.025	120.06	26.974	36.138	372.46	108.00	7.4246	0.017423
-54.660	0.030730	707.23	0.0014140	1.7006	1.7014	8.2231	50.460	74.662	1868.5	-0.20553	356.85	0.60128	0.039020	0.29185	3.4264	24.261	26.054	119.68	27.043	36.240	373.17	105.65	7.4525	0.017509
-53.660	0.032691	706.06	0.0014163	1.7753	1.7761	8.5641	50.440	74.727	1862.3	-0.20475	350.46	0.60050	0.038796	0.30922	3.2339	24.282	26.083	119.31	27.112	36.345	373.88	103.36	7.4806	0.017595
-52.660	0.034755	704.88	0.0014187	1.8500	1.8509	8.9038	50.419	74.793	1856.1	-0.20396	344.24	0.59968	0.038572	0.32743	3.0541	24.304	26.111	118.93	27.183	36.452	374.58	101.13	7.5087	0.017682
-51.660	0.036925	703.70	0.0014211	1.9248	1.9257	9.2423	50.396	74.858	1850.0	-0.20316	338.19	0.59884	0.038347	0.34651	2.8859	24.325	26.140	118.57	27.256	36.561	375.28	98.959	7.5369	0.017771
