Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.0011885	1679.1	0.00059555	13.702	13.702	73.480	63.741	98.974	1035.0	-0.53080	1044.3	0.11672	0.026539	0.099959	10.004	35.573	37.010	208.10	45.922	54.297	118.49	111.11	6.7811	0.0042696
-99.000	0.0013044	1676.5	0.00059648	13.801	13.801	74.050	63.765	99.030	1030.4	-0.52978	1020.9	0.11623	0.026380	0.10908	9.1672	35.618	37.064	207.63	46.111	54.490	118.79	108.81	6.8203	0.0043086
-98.000	0.0014298	1673.9	0.00059741	13.900	13.900	74.617	63.791	99.089	1025.9	-0.52873	998.30	0.11575	0.026222	0.11890	8.4104	35.664	37.118	207.18	46.300	54.684	119.08	106.58	6.8595	0.0043478
-97.000	0.0015653	1671.3	0.00059835	13.999	13.999	75.182	63.818	99.149	1021.3	-0.52765	976.54	0.11527	0.026064	0.12945	7.7251	35.710	37.172	206.73	46.489	54.877	119.37	104.42	6.8986	0.0043871
-96.000	0.0017117	1668.6	0.00059930	14.098	14.098	75.743	63.848	99.213	1016.8	-0.52655	955.55	0.11480	0.025906	0.14077	7.1037	35.756	37.226	206.30	46.677	55.070	119.67	102.32	6.9378	0.0044265
-95.000	0.0018696	1666.0	0.00060024	14.197	14.197	76.302	63.879	99.278	1012.2	-0.52542	935.29	0.11432	0.025749	0.15291	6.5397	35.802	37.280	205.87	46.865	55.264	119.96	100.28	6.9770	0.0044661
-94.000	0.0020397	1663.4	0.00060119	14.297	14.297	76.858	63.912	99.346	1007.7	-0.52427	915.71	0.11385	0.025591	0.16592	6.0271	35.848	37.335	205.45	47.052	55.457	120.25	98.300	7.0162	0.0045058
-93.000	0.0022228	1660.7	0.00060214	14.396	14.396	77.411	63.947	99.417	1003.2	-0.52309	896.80	0.11338	0.025434	0.17983	5.5607	35.895	37.389	205.04	47.239	55.649	120.54	96.374	7.0553	0.0045456
-92.000	0.0024197	1658.1	0.00060310	14.495	14.496	77.961	63.983	99.489	998.68	-0.52189	878.52	0.11291	0.025277	0.19471	5.1359	35.941	37.444	204.64	47.426	55.842	120.82	94.503	7.0945	0.0045856
-91.000	0.0026311	1655.5	0.00060406	14.595	14.595	78.509	64.022	99.564	994.18	-0.52066	860.83	0.11244	0.025120	0.21059	4.7485	35.988	37.499	204.25	47.612	56.035	121.11	92.685	7.1337	0.0046257
