Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-100.00	0.0028994	643.74	0.0015534	-1.0391	-1.0389	-0.36398	59.538	90.565	1544.9	-0.54559	428.63	0.16439	0.023375	0.089039	11.231	18.710	20.146	121.99	43.819	52.230	196.75	80.060	4.7332	0.0069382
-99.000	0.0031555	642.71	0.0015559	-0.94846	-0.94825	0.15783	59.575	90.668	1538.2	-0.54405	421.53	0.16378	0.023246	0.096367	10.377	18.754	20.198	121.58	43.964	52.382	197.24	78.946	4.7604	0.0070105
-98.000	0.0034305	641.67	0.0015584	-0.85775	-0.85751	0.67724	59.613	90.771	1531.5	-0.54248	414.61	0.16317	0.023116	0.10419	9.5982	18.797	20.249	121.18	44.109	52.535	197.73	77.850	4.7877	0.0070830
-97.000	0.0037254	640.63	0.0015610	-0.76693	-0.76667	1.1943	59.652	90.876	1524.9	-0.54089	407.87	0.16256	0.022986	0.11252	8.8870	18.840	20.300	120.79	44.256	52.688	198.22	76.773	4.8149	0.0071558
-96.000	0.0040414	639.59	0.0015635	-0.67601	-0.67573	1.7090	59.692	90.982	1518.2	-0.53928	401.30	0.16194	0.022856	0.12140	8.2370	18.884	20.352	120.41	44.402	52.843	198.70	75.712	4.8422	0.0072289
-95.000	0.0043795	638.55	0.0015661	-0.58498	-0.58468	2.2214	59.734	91.090	1511.5	-0.53766	394.90	0.16133	0.022726	0.13085	7.6422	18.928	20.403	120.03	44.550	52.999	199.18	74.669	4.8694	0.0073023
-94.000	0.0047411	637.51	0.0015686	-0.49384	-0.49352	2.7315	59.776	91.198	1504.8	-0.53601	388.65	0.16071	0.022595	0.14090	7.0974	18.971	20.455	119.66	44.698	53.156	199.66	73.642	4.8966	0.0073759
-93.000	0.0051274	636.46	0.0015712	-0.40260	-0.40224	3.2394	59.820	91.308	1498.1	-0.53434	382.55	0.16010	0.022465	0.15157	6.5978	19.015	20.507	119.30	44.846	53.314	200.13	72.631	4.9238	0.0074498
-92.000	0.0055396	635.42	0.0015738	-0.31124	-0.31086	3.7451	59.866	91.419	1491.4	-0.53264	376.61	0.15948	0.022334	0.16289	6.1391	19.059	20.559	118.95	44.996	53.473	200.60	71.635	4.9509	0.0075239
-91.000	0.0059792	634.37	0.0015764	-0.21978	-0.21936	4.2487	59.912	91.532	1484.7	-0.53093	370.80	0.15887	0.022203	0.17490	5.7177	19.103	20.610	118.60	45.146	53.633	201.06	70.656	4.9781	0.0075983
-90.000	0.0064475	633.32	0.0015790	-0.12820	-0.12775	4.7501	59.960	91.645	1478.0	-0.52919	365.14	0.15825	0.022071	0.18762	5.3300	19.147	20.662	118.26	45.297	53.795	201.53	69.691	5.0052	0.0076730
-89.000	0.0069459	632.27	0.0015816	-0.036509	-0.036025	5.2493	60.009	91.760	1471.3	-0.52744	359.60	0.15764	0.021940	0.20108	4.9731	19.191	20.714	117.93	45.448	53.958	201.98	68.740	5.0323	0.0077480
-88.000	0.0074760	631.22	0.0015842	0.055297	0.055820	5.7465	60.060	91.877	1464.6	-0.52566	354.20	0.15702	0.021808	0.21532	4.6442	19.235	20.766	117.61	45.601	54.122	202.44	67.804	5.0594	0.0078232
-87.000	0.0080392	630.17	0.0015869	0.14722	0.14778	6.2417	60.112	91.995	1458.0	-0.52385	348.93	0.15640	0.021677	0.23037	4.3408	19.280	20.819	117.29	45.754	54.287	202.89	66.882	5.0865	0.0078986
